'that', 'political' | In regular: 0 | In spam: 1
'html', 'transitionalen' | In regular: 1 | In spam: 0
'resizable', 'news' | In regular: 0 | In spam: 1
'between', 'active' | In regular: 1 | In spam: 0
'city', 'getinlineleft' | In regular: 0 | In spam: 1
'militia', 'backing' | In regular: 0 | In spam: 1
'marylyn', 'luter' | In regular: 0 | In spam: 1
'over', 'gobi' | In regular: 1 | In spam: 0
'privacy', 'assessment' | In regular: 0 | In spam: 1
'touch', 'down' | In regular: 1 | In spam: 0
'alicedubuchotmailcom', 'aweerdhotmailcom' | In regular: 0 | In spam: 1
'multimedia', 'appli' | In regular: 0 | In spam: 1
'goes', 'washroom' | In regular: 0 | In spam: 1
'padding', 'seventh' | In regular: 0 | In spam: 1
'your', 'ireland' | In regular: 0 | In spam: 1
'extract', 'information' | In regular: 1 | In spam: 0
'does', 'firing' | In regular: 0 | In spam: 1
'veteran', 'painkillers' | In regular: 0 | In spam: 1
'marius', 'bulacu' | In regular: 9 | In spam: 0
'egmond', 'zee' | In regular: 2 | In spam: 0
'long', 'stack' | In regular: 0 | In spam: 1
'alert', 'october' | In regular: 1 | In spam: 0
'book', 'france' | In regular: 0 | In spam: 1
'contentmodules', 'layerobject' | In regular: 0 | In spam: 1
'from', 'network' | In regular: 3 | In spam: 0
'different', 'motor' | In regular: 1 | In spam: 0
'county', 'aclrover' | In regular: 0 | In spam: 1
'annually', 'since' | In regular: 1 | In spam: 0
'laid', 'down' | In regular: 0 | In spam: 1
'industry', 'academia' | In regular: 1 | In spam: 0
'animated', 'features' | In regular: 0 | In spam: 1
'couple', 'more' | In regular: 0 | In spam: 1
'adiframe', 'overall' | In regular: 0 | In spam: 1
'wonder', 'contests' | In regular: 0 | In spam: 1
'friends', 'colleagues' | In regular: 1 | In spam: 0
'would', 'love' | In regular: 0 | In spam: 1
'will', 'posted' | In regular: 0 | In spam: 1
'launching', 'xpos' | In regular: 0 | In spam: 1
'going', 'this' | In regular: 0 | In spam: 1
'fabel', 'betty' | In regular: 1 | In spam: 0
'impaired', 'motor' | In regular: 1 | In spam: 0
'protest', 'over' | In regular: 2 | In spam: 0
'costs', 'find' | In regular: 1 | In spam: 0
'dbquery', 'paula' | In regular: 0 | In spam: 1
'evrard', 'michel' | In regular: 1 | In spam: 0
'mbulaclachotmailcom', 'gertie' | In regular: 0 | In spam: 1
'protection', 'repair' | In regular: 1 | In spam: 0
'serotonergic', 'cells' | In regular: 1 | In spam: 0
'standard', 'write' | In regular: 0 | In spam: 1
'revelations', 'nitems' | In regular: 0 | In spam: 1
'stopped', 'lord' | In regular: 0 | In spam: 1
'that', 'decoration' | In regular: 0 | In spam: 3
'fields', 'theoretical' | In regular: 1 | In spam: 0
'wingsesn', 'isd' | In regular: 1 | In spam: 0
'contribution', 'website' | In regular: 1 | In spam: 0
'new', 'realtime' | In regular: 1 | In spam: 0
'publication', 'days' | In regular: 0 | In spam: 1
'back', 'some' | In regular: 0 | In spam: 1
'educational', 'approaches' | In regular: 1 | In spam: 0
'sponsoring', 'research' | In regular: 1 | In spam: 0
'location', 'positioning' | In regular: 0 | In spam: 1
'ordm', 'times' | In regular: 0 | In spam: 1
'conflict', 'ntlocation' | In regular: 0 | In spam: 1
